text_snippet,pred_label,pred_label_name,true_label,correct,fake_probability,real_probability,risk_score,title,source,url,published_at
"Town Meeting night two underway (May 5, 2026: 5:41 p.m.) The second night of Town Meeting, Nantucket's annual exercise i",0,real,,,0.9981,0.0019,0.499,Town Meeting night two underway,The Inquirer And Mirror,https://www.ack.net/news/town-meeting-night-two-underway/article_799b1b57-50b0-4bd0-9375-b0caa1ee1b9d.html,2026-05-05 20:12:00
"Enchanted Garden, Midnight Masquerade and Midnight Rendezvous themes for proms at area high schools Events took place in",0,real,,,0.925,0.075,0.462,"Enchanted Garden, Midnight Masquerade and Midnight Rendezvous themes for proms at area high schools",Alexandria Echo Press,https://www.echopress.com/lifestyle/enchanted-garden-midnight-masquerade-and-midnight-rendezvous-themes-for-proms-at-area-high-schools,2026-05-05 20:12:00
"Detroit Auto Show Fans Joked The Place Was A Dumpster Fire, Someone Took It Literally A man was caught on security camer",1,fake,,,0.0,1.0,0.0,"Detroit Auto Show Fans Joked The Place Was A Dumpster Fire, Someone Took It Literally",Carscoops,https://www.carscoops.com/2026/05/detroit-auto-show-arson-huntington/,2026-05-05 20:12:00
"Town Meeting voters narrowly reject erosion-control expansion project (May 5, 2026: 8:38 p.m.) Town Meeting voters on Tu",1,fake,,,0.0303,0.9697,0.015,Town Meeting voters narrowly reject erosion-control expansion project,The Inquirer And Mirror,https://www.ack.net/news/town-meeting-voters-narrowly-reject-erosion-control-expansion-project/article_799b1b57-50b0-4bd0-9375-b0caa1ee1b9d.html,2026-05-05 20:12:00
"Chris Donatelli, whose real estate projects reshaped D.C., dies at 58 Chris Donatelli, a politically connected real esta",0,real,,,0.9849,0.0151,0.492,"Chris Donatelli, whose real estate projects reshaped D.C., dies at 58",The Frederick News-post,https://www.fredericknewspost.com/public/ap/chris-donatelli-whose-real-estate-projects-reshaped-d-c-dies-at-58/article_7c098818-6cce-5fe7-a118-be40a0a6f436.html,2026-05-05 20:12:00
HPU History Professor Receives Slane Distinguished Teaching-Service Award High Point University recently presented The M,1,fake,,,0.0001,0.9999,0.0,HPU History Professor Receives Slane Distinguished Teaching-Service Award,Yes! Weekly,https://www.yesweekly.com/business/hpu-history-professor-receives-slane-distinguished-teaching-service-award/article_b5eccc4f-27e6-4ae9-9d8d-9dfb3ef7fdf4.html,2026-05-05 20:12:00
"Met Gala: All the Hollywood, Fashion, Sports and Music Stars in Thom Browne’s 2026 Class Photo (Exclusive) Thom Browne’s",1,fake,,,0.0003,0.9997,0.0,"Met Gala: All the Hollywood, Fashion, Sports and Music Stars in Thom Browne’s 2026 Class Photo (Exclusive)",Nyt News Today,https://www.nytimesnewstoday.com/met-gala-all-the-hollywood-fashion-sports-and-music-stars-in-thom-brownes-2026-class-photo-exclusive/,2026-05-05 20:12:00
State Fire Marshal calls for Oregonians to take simple steps to prepare for wildfire “A few simple weekend projects with,1,fake,,,0.0,1.0,0.0,State Fire Marshal calls for Oregonians to take simple steps to prepare for wildfire,Herald And News,https://www.heraldandnews.com/news/state-fire-marshal-calls-for-oregonians-to-take-simple-steps-to-prepare-for-wildfire/article_d6417932-482f-54d3-a4ab-1c57c5fc7800.html,2026-05-05 20:12:00
Modified 2013 Fiat 500 Abarth at No Reserve This 2013 Fiat 500 Abarth is finished in Nero over Nero leather and is power,1,fake,,,0.0001,0.9999,0.0,Modified 2013 Fiat 500 Abarth at No Reserve,Bring A Trailer,https://bringatrailer.com/listing/2013-fiat-500-abarth-91/,2026-05-05 20:11:59
NPS confirms Yellowstone's first bear attack of 2026; several trails closed amid investigation Two hikers suffered injur,0,real,,,0.9993,0.0007,0.5,NPS confirms Yellowstone's first bear attack of 2026; several trails closed amid investigation,Keloland.com,https://www.keloland.com/news/local-news/nps-confirms-yellowstones-first-bear-attack-of-2026-several-trails-closed-amid-investigation/,2026-05-05 20:11:58
